#OTU ID				10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	0	0.0004	0	6.67E-05	0	0	0	0	0.000133333	0	0	6.67E-05	0	0.000533333	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0.0004	6.67E-05	0	6.67E-05	0	0	0.000133333	6.67E-05	6.67E-05	0	0	0.000133333	0.001266667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	0	0	6.67E-05	0	6.67E-05	0.000666667	0	0	6.67E-05	6.67E-05	6.67E-05	0	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	6.67E-05	0	6.67E-05	0	0	6.67E-05	6.67E-05	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Gemellales	0.0004	0.000133333	6.67E-05	6.67E-05	6.67E-05	0.000666667	0.001133333	0.000133333	0.0014	0.000133333	0.000266667	0.000133333	0.000133333	0	0	0.000466667	0.0004	0	0.000466667	0	0.0004	0.000133333	0.000133333	0	0.0002	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	0	0	6.67E-05	0.0002	6.67E-05	0.0004	6.67E-05	0.000133333	0.001266667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	0.0086	0.014466667	0.005	0.005533333	0.0018	0.0014	0.002133333	0.000733333	0.001333333	0.0018	0.000666667	0.000333333	0.0016	0.003933333	0.000133333	0.000666667	0.000133333	0.000333333	0.001066667	0.0002	0.000666667	0.001066667	0.000733333	0.001066667	0.001	0.0002	0.005533333	0.0018	0.0008	0.000266667	0.0022	0.0004	0.001066667	0.000533333	0.000533333	0.0006	0.000666667	0.000266667	0.001666667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Turicibacterales	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	0.556333333	0.7982	0.724466667	0.686066667	0.453133333	0.5238	0.527466667	0.458933333	0.4534	0.526266667	0.592733333	0.694266667	0.7084	0.578333333	0.5104	0.366333333	0.424533333	0.509866667	0.525666667	0.448266667	0.485933333	0.7352	0.510733333	0.606333333	0.629066667	0.617866667	0.430666667	0.381133333	0.51	0.491066667	0.620066667	0.677066667	0.526533333	0.564733333	0.754666667	0.469133333	0.6736	0.581866667	0.59
k__Bacteria	p__Firmicutes	c__Clostridia	o__SHA-98	0.000133333	0	0	0	0	6.67E-05	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0.000333333	0	6.67E-05	6.67E-05	0	6.67E-05	0.000133333	6.67E-05	0	0.000133333	0	0	0	6.67E-05	0	6.67E-05	6.67E-05	6.67E-05	0	0	6.67E-05	0	6.67E-05
k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	0.017333333	0.032066667	0.027866667	0.009733333	0.017733333	0.013466667	0.007666667	0.0012	0.004533333	0.007333333	0.012466667	0.014666667	0.026466667	0.011466667	0.0122	0.015933333	0.015133333	0.019	0.022133333	0.007	0.009333333	0.014133333	0.011266667	0.008933333	0.0094	0.0262	0.002866667	0.007	0.0082	0.0074	0.004266667	0.014666667	0.024666667	0.012733333	0.022	0.006933333	0.021733333	0.006266667	0.021466667
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	0.010266667	0.0008	6.67E-05	6.67E-05	6.67E-05	0.0034	0.011466667	0.0008	0.013933333	0.000866667	0.0004	0.000333333	0.000266667	0.0002	0.000333333	0.0038	0.008733333	0.000133333	0.002866667	0.0002	0.001466667	6.67E-05	0.000533333	0.000133333	0.0026	0.0002	0.000933333	0.003133333	0.000333333	0.000866667	0.000266667	0	0	0.003	0	0.012666667	0.0012	0.0004	0.0028
k__Bacteria	p__Lentisphaerae	c__[Lentisphaeria]	o__Victivallales	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	6.67E-05	0.000133333	0.000133333	0.000133333	0.000333333	0.000666667	0.0002	0.000266667	0	6.67E-05	0	0.000133333	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	0	0	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	6.67E-05
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	0.002266667	0	6.67E-05	0.0002	0.005266667	0.001133333	0.001466667	0.001733333	0.004333333	0.000333333	0.003466667	0.035733333	0.0076	0.0254	0.033133333	0.028866667	0.020533333	0.0378	0.0036	0.011866667	0.008933333	0.017066667	0.0028	0.011533333	0.000866667	0.015333333	0.0112	0.0054	0.002533333	0.003133333	0.0034	0.0048	0.001133333	0.002266667	0.005133333	0.004666667	0.015266667	0.0014	0.001266667
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0.000266667
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0.000133333	6.67E-05	0	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	0.0032	0.0002	0.001466667	0.0028	0.0036	0.005533333	0.004866667	0.006066667	0.011466667	0.006666667	0.004	0.005	0.0088	0.0042	0.0048	0.0116	0.0056	0.006866667	0.010466667	0.0128	0.0054	0.006933333	0.005666667	0.006	0.0062	0.01	0.019	0.004	0.010333333	0.003866667	0.005666667	0.009333333	0.0108	0.0046	0.0054	0.002666667	0.006066667	0.0104	0.005333333
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	0.0002	0	0	0	0	0.000466667	0.0006	0.000133333	0.000533333	0	0	0	0	0	6.67E-05	0.0002	0.000333333	0	6.67E-05	0	0	0	0.000266667	0	6.67E-05	0	0	6.67E-05	6.67E-05	0	0.000133333	0	0	0.000133333	0	6.67E-05	0	6.67E-05	0.000466667
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	0.007133333	0.000933333	0.007066667	0.005333333	0.005133333	0.009	0.0164	0.003733333	0.006066667	0.0064	0.006533333	0.006266667	0.006933333	0.0032	0.010866667	0.011533333	0.0112	0.0058	0.0152	0.004866667	0.0116	0.008733333	0.002733333	0.004933333	0.0068	0.010733333	0.008666667	0.008333333	0.011333333	0.0086	0.012333333	0.007666667	0.01	0.0116	0.009666667	0.009533333	0.012	0.007466667	0.015133333
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	0	0	0	0	0	0.0002	0.0002	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	0.0024	0.000533333	6.67E-05	0.000533333	0.028533333	0.000933333	0.000733333	0.177533333	0.087666667	0.116333333	0.0002	0.0006	0.0014	0.001	0.0002	0.000666667	0.000533333	0.0002	0.000733333	0.000666667	0.006	0.000266667	0.000133333	0.0192	0.010666667	0.030666667	0.094333333	0.037266667	0.022466667	0.0128	0.036733333	0.074933333	0.086666667	0.008133333	0.033266667	0.0696	0.036	0.076533333	0.013333333
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	6.67E-05	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	0	0.0002	0	0	0.0002	0.000466667	0.003133333	0.0004	0.011666667	0.000533333	0.000133333	0.000266667	0.000333333	0.000133333	0.000333333	0.0008	0.0002	6.67E-05	0.000733333	0	0.001533333	0.000133333	6.67E-05	0.0002	0.000733333	0	0.0008	0.000666667	0	6.67E-05	0	6.67E-05	6.67E-05	0.000533333	6.67E-05	0.002133333	0	6.67E-05	0.000733333
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	0	0	6.67E-05	6.67E-05	6.67E-05	6.67E-05	0	0	0	0.000133333	0	0	6.67E-05	0	0	0	0	0.000133333	6.67E-05	0	0	0	6.67E-05	0	0	0	6.67E-05	0	6.67E-05	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0.000133333	0	6.67E-05	6.67E-05	0.000466667	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0
k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	0.0002	0	6.67E-05	0.000133333	6.67E-05	0.000133333	0.0002	0	0	0	0	0	0	0	6.67E-05	0	0.000466667	0.000266667	0.000333333	6.67E-05	0.000266667	0	0.0002	0	0	0.0002	0	0	0.000266667	0.000133333	6.67E-05	6.67E-05	0.0002	0.000466667	0	0.000466667	6.67E-05	0	0.000133333
k__Bacteria	p__TM7	c__TM7-3	o__	6.67E-05	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Tenericutes	c__Mollicutes	o__RF39	0.0012	0	0.000133333	0.0002	0.001466667	0.001	0.000333333	0.0028	0.001466667	0.0002	0.002	0.0002	0.001266667	0.002266667	0.000133333	0.000266667	0.0006	0.001933333	0.001	0.001133333	0.001133333	0.000133333	6.67E-05	0.0002	0.0004	0.000133333	0.0018	0	0.001466667	0.0008	0.0002	0.0006	6.67E-05	6.67E-05	0.0004	0.001533333	0.000666667	6.67E-05	0.0026
k__Bacteria	p__Tenericutes	c__RF3	o__ML615J-28	0.000266667	0	0	0.0002	0.000666667	0.001266667	0.003133333	0.000133333	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	0.1554	0.012333333	0.037266667	0.069	0.025266667	0.022933333	0.054066667	0.004333333	0.0046	0.0044	0.002533333	0.0008	0.000266667	0.000666667	0.007533333	0.128733333	0.050733333	0.0426	0.043666667	0.054	0.083466667	0.010666667	0.09	0.003866667	0.0028	0.0138	0.006666667	0.097466667	0.107866667	0.216266667	0.046933333	0.005266667	0.034333333	0.120133333	0.0094	0.181733333	0.028933333	0.073066667	0.080666667
