#OTU ID						10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	6.67E-05	0.0002	6.67E-05	0.0002	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0.000133333	6.67E-05	0.000133333	0	6.67E-05	0	6.67E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Alloscardovia	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	0.002933333	0.001466667	0.001866667	0.0006	0.000266667	0.000133333	0.000466667	0.001333333	0.0004	0.001266667	0.001933333	0.0058	0.0092	0.0038	0.013466667	0.001866667	0	0.000133333	0.000666667	0.000133333	0	0.000666667	0.000533333	6.67E-05	0.0004	0.000133333	0.0004	0.0006	0.001466667	0.0004	0.0004	0.000133333	0.0022	0.0002	0.000266667	0.0002	0.0002	0.000133333	0.001133333
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	0.011466667	0.008933333	0.0124	0.005666667	0.0016	0.0018	0.0024	0.000466667	0.000666667	0.001266667	0.002333333	0.0014	0.001466667	0.000333333	0.001066667	0.001	0.0024	0.001266667	0.002733333	0.0008	0.0012	0.004066667	0.009133333	0.0012	0.000466667	0.003	0.000733333	0.001266667	0.001333333	0.0022	0.001333333	0.002866667	0.002066667	0.002333333	0.005	0.0016	0.005133333	0.0012	0.004
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Adlercreutzia	0.0002	0.000266667	0.000533333	0.000466667	0.000133333	0.0002	0.000133333	0	0	6.67E-05	6.67E-05	0	0.000133333	6.67E-05	0	0.000266667	6.67E-05	6.67E-05	0.000333333	0	0.000133333	0.0002	0.000333333	6.67E-05	0.000133333	0.0002	0	0.000133333	6.67E-05	0.000133333	0.000266667	0.000266667	0.000466667	0.0002	0.000333333	0.0002	0.0002	0.0002	0.0004
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Atopobium	0.000133333	0.000133333	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	0.002066667	0.002533333	0.005533333	0.001666667	0.000733333	0.0002	0.001866667	0.000333333	0.000533333	0.001466667	0.0012	0.0014	0.003533333	0.000866667	0.000866667	0.002933333	0.001066667	0.000333333	0.0004	0.000466667	0.0006	0.003933333	0.004666667	0.001	0.001933333	0.002666667	0.000466667	0.000466667	0.000933333	0.000733333	0.001	0.001133333	0.003733333	0.001466667	0.002333333	0.000333333	0.004333333	0.000466667	0.002933333
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Eggerthella	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0.000133333	0.000133333	0	0	6.67E-05	0	0	0	0	0.000133333	0.000466667	0	0	0.000133333	6.67E-05	0	0	0	0.000133333	0	0	0	0	0	0	0	0.000266667
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0.000133333	0	0	6.67E-05	0.000133333	0	6.67E-05	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__	g__	0.000466667	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0.000133333	0.0022	0	0	6.67E-05	0.0004	6.67E-05	0.000133333	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__5-7N15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	0.057533333	0.033	0.127533333	0.098066667	0.308	0.289266667	0.206533333	0.239666667	0.229133333	0.223533333	0.223333333	0.120133333	0.074066667	0.16	0.2094	0.179133333	0.263266667	0.212466667	0.151533333	0.176466667	0.1832	0.096466667	0.2104	0.189133333	0.138866667	0.1566	0.246866667	0.2716	0.154333333	0.1236	0.139533333	0.103533333	0.194533333	0.1252	0.0756	0.1278	0.121733333	0.154333333	0.161066667
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	0.004933333	0.005533333	0.0154	0.021266667	0.0612	0.039866667	0.0388	0.032466667	0.034533333	0.024066667	0.0608	0.032666667	0.0416	0.043933333	0.099933333	0.123266667	0.072666667	0.080466667	0.0786	0.0922	0.047333333	0.030333333	0.036733333	0.0208	0.022866667	0.036	0.0374	0.044733333	0.037333333	0.025133333	0.0292	0.0278	0.019866667	0.027466667	0.022666667	0.031333333	0.012333333	0.0176	0.0154
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	0.000733333	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0.0002	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	0.000266667	6.67E-05	0.000133333	0.000333333	0.0004	6.67E-05	0.034666667	0.038333333	0.095666667	0.040266667	0.0268	0.047666667	0.046666667	0.0976	0.0068	0.005866667	0.005	0.016266667	0.014733333	0.0608	0.041	0.0196	0.011733333	0.073933333	0.136866667	0.0174	0.090733333	0.036133333	0.020133333	0.011	0.019933333	0.027933333	0.014066667	0.0402	0.0176	0.0112	0.0158	0.012933333	0.026
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__	0.028666667	0.008066667	0.019133333	0.041733333	0.068666667	0.0588	0.063066667	0.019666667	0.0284	0.025866667	0.0494	0.024	0.047733333	0.050733333	0.073533333	0.0908	0.088466667	0.046466667	0.0998	0.103666667	0.079866667	0.033	0.078	0.0322	0.0212	0.031733333	0.027533333	0.0726	0.082133333	0.0664	0.056533333	0.026466667	0.0442	0.050933333	0.019933333	0.047866667	0.029133333	0.034466667	0.028666667
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	6.67E-05	0	0	0.000266667	0.0002	0.000333333	6.67E-05	6.67E-05	0	0	0.0002	6.67E-05	0	6.67E-05	0	0.000266667	0.000266667	0.000133333	0.000333333	6.67E-05	0.000133333	6.67E-05	6.67E-05	6.67E-05	0	0.0002	0.000133333	0.000266667	0	0	6.67E-05	0.000133333	0.0002	6.67E-05	0	0.0002	6.67E-05	0	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	0	0.0006	0.000533333	0.000333333	0.000733333	0.0004	0.000133333	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Barnesiellaceae]	g__	0.0016	0.001066667	0.002133333	0.002466667	0.0048	0.009066667	0.0068	0.0012	0.001933333	0.0028	0.002933333	0.000933333	0.001733333	0.002066667	0.0036	0.006333333	0.014133333	0.005066667	0.010266667	0.0066	0.012733333	0.003733333	0.009266667	0.0034	0.001133333	0.006533333	0.003	0.015933333	0.0144	0.0154	0.009733333	0.0054	0.0104	0.009733333	0.005866667	0.009266667	0.006266667	0.010333333	0.009066667
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Odoribacteraceae]	g__Butyricimonas	0.0008	0.000466667	0.000266667	0.001	0.0046	0.007	0.005266667	0.004066667	0.003333333	0.004666667	0.0038	0.002866667	0.004533333	0.0058	0.006666667	0.011933333	0.007	0.008266667	0.003133333	0.0086	0.0046	0.0048	0.004266667	0.004866667	0.001066667	0.0054	0.0032	0.005	0.004466667	0.002266667	0.005	0.003933333	0.004866667	0.003733333	0.0032	0.002466667	0.002933333	0.005666667	0.002266667
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Odoribacteraceae]	g__Odoribacter	0.0006	0.000133333	6.67E-05	0.000466667	0.001466667	0.0026	0.001133333	0.0012	0.000666667	0.001066667	0.000933333	0.000733333	0.001533333	0.001666667	0.0014	0.002133333	0.002266667	0.002133333	0.0024	0.003	0.001666667	0.002133333	0.001533333	0.002	0.0002	0.002666667	0.0014	0.001533333	0.0014	0.001	0.001066667	0.000866667	0.001066667	0.001266667	0.000933333	0.001	0.0008	0.001866667	0.001333333
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__YRC22	0.001466667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Cloacibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	f__	g__	6.67E-05	0	0.0002	0.000266667	0.0012	0.000466667	0	0.000933333	0.000733333	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0	0	0	6.67E-05	0	0.004266667	0.008533333	0.002866667	0.000266667	0.0072	0.001933333	0.006733333	0.0038	0.0004	0.0026	0.002466667	0.000866667	0.001533333	0.000133333	0.0008	0.001	0.000866667	0.001066667	0.0002	0.0002
k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__	g__	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	f__	g__	0	0.0004	0	6.67E-05	0	0	0	0	0.000133333	0	0	6.67E-05	0	0.000533333	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0.0004	6.67E-05	0	6.67E-05	0	0	0.000133333	6.67E-05	6.67E-05	0	0	0.000133333	0.001266667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Rummeliibacillus	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Sporosarcina	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	0	0	0	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Gemellales	f__Gemellaceae	g__	0.0004	0.000133333	6.67E-05	6.67E-05	6.67E-05	0.000666667	0.001133333	0.000133333	0.0014	0.000133333	0.000266667	0.000133333	0.000133333	0	0	0.000466667	0.0004	0	0.000466667	0	0.0004	0.000133333	0.000133333	0	0.0002	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	0	0	6.67E-05	0.0002	6.67E-05	0.0004	6.67E-05	0.000133333	0.001266667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella	0	0	0.000133333	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0.000333333	0	0.000333333	6.67E-05	0	0.0006
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	0	0	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	6.67E-05	0	0	0	0	0	0	0	0	0.000133333	0	6.67E-05	0	0	6.67E-05	0.000133333	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Vagococcus	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__	6.67E-05	6.67E-05	0	0	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	0.000133333	0.000133333	0.0004	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0.000133333	6.67E-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus	0	0.000133333	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	g__Leuconostoc	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	0.0084	0.014066667	0.004333333	0.0054	0.001733333	0.001333333	0.002066667	0.000666667	0.001266667	0.001733333	0.0006	0.000266667	0.001466667	0.003933333	0.000133333	0.000666667	0.000133333	0.0002	0.001	0	0.0006	0.001	0.000666667	0.001066667	0.001	0.0002	0.0054	0.0016	0.000533333	6.67E-05	0.002133333	0.000266667	0.001	0.000133333	0.000533333	0.000266667	0.000533333	0.000133333	0.001066667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Turicibacterales	f__Turicibacteraceae	g__Turicibacter	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__	g__	0.115533333	0.027466667	0.0424	0.047333333	0.031533333	0.032666667	0.028866667	0.043933333	0.0304	0.035333333	0.025733333	0.0316	0.028866667	0.047733333	0.038333333	0.033533333	0.039866667	0.0582	0.032	0.0336	0.0396	0.078466667	0.053666667	0.060333333	0.042266667	0.075733333	0.0588	0.03	0.043133333	0.044933333	0.067266667	0.0812	0.0732	0.0648	0.1004	0.039866667	0.085266667	0.051466667	0.090333333
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__	0.0194	0.000666667	0.000666667	0.0042	0.0052	0.0046	0.01	0.0006	0.000666667	0.000866667	0.001	0.000733333	0.0018	0.001	0.007	0.001066667	0.012733333	0.005533333	0.008533333	0.001533333	0.0046	0.0012	0.0048	0.000933333	0.000866667	0.0024	0.002533333	0.0042	0.019866667	0.008133333	0.010066667	0.0062	0.005666667	0.013466667	0.003533333	0.019	0.0034	0.007466667	0.006733333
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__Christensenella	0	6.67E-05	0	0.000133333	0	0.000133333	0	6.67E-05	0	0	0	0	6.67E-05	0	6.67E-05	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	6.67E-05	6.67E-05	0	0.000133333	0.000133333	0	6.67E-05	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__	0.000933333	0.000733333	0.000666667	0.001666667	0.001333333	0.001466667	0.0032	0.0024	0.002466667	0.001466667	0.000933333	0.0006	0.000533333	0.000533333	0.0012	0.001866667	0.001533333	0.001733333	0.002066667	0.001066667	0.001	0.000733333	0.001266667	0.001866667	0.000533333	0.0014	0.001066667	0.001066667	0.000866667	0.002133333	0.001266667	0.0008	0.0022	0.003066667	0.001333333	0.0022	0.001533333	0.001066667	0.0032
